activity,county,date,score,state
amusement park,Palm Beach,2020-05-20 00:00:00,0.08781666666666664,Florida
amusement park,Franklin,2020-06-03 00:00:00,-0.703457142857143,Ohio
amusement park,Cuyahoga,2020-06-03 00:00:00,-0.7464999999999999,Ohio
amusement park,Wake,2020-06-03 00:00:00,0.18535,North Carolina
amusement park,St. Louis,2020-06-03 00:00:00,-0.04585714285714288,Missouri
amusement park,Marion,2020-05-27 00:00:00,0.03014285714285712,Indiana
amusement park,Shelby,2020-06-03 00:00:00,-0.54418,Tennessee
amusement park,Erie,2020-06-03 00:00:00,-0.2796611111111111,New York
amusement park,Prince George's,2020-06-03 00:00:00,-0.42818888888888884,Maryland
amusement park,Prince George's,2020-05-27 00:00:00,0.01554999999999999,Maryland
amusement park,Hartford,2020-06-03 00:00:00,-0.07197999999999999,Connecticut
aquarium,New York,2020-06-03 00:00:00,-0.2207306451612903,New York
aquarium,New York,2020-05-27 00:00:00,-0.3565560975609756,New York
aquarium,New York,2020-05-20 00:00:00,0.46044883720930235,New York
aquarium,Palm Beach,2020-05-20 00:00:00,0.22120999999999996,Florida
aquarium,St. Louis,2020-06-03 00:00:00,0.017027777777777784,Missouri
atm,New York,2020-06-03 00:00:00,-0.2164894736842106,New York
atm,New York,2020-05-27 00:00:00,-0.64195,New York
atm,New York,2020-05-20 00:00:00,0.29272096774193535,New York
bakery,Cook,2020-06-03 00:00:00,0.44229999999999997,Illinois
bakery,San Diego,2020-05-27 00:00:00,0.2519875,California
bakery,San Diego,2020-05-20 00:00:00,0.3414568181818181,California
bakery,San Bernardino,2020-05-27 00:00:00,0.2519875,California
bakery,San Bernardino,2020-05-20 00:00:00,0.3414568181818181,California
bakery,New York,2020-06-03 00:00:00,0.3189416666666666,New York
bakery,New York,2020-05-27 00:00:00,0.23533111111111116,New York
bakery,New York,2020-05-20 00:00:00,0.14704074074074072,New York
bakery,Palm Beach,2020-06-03 00:00:00,0.44229999999999997,Florida
bakery,Salt Lake,2020-06-03 00:00:00,0.44229999999999997,Utah
bakery,St. Louis,2020-06-03 00:00:00,0.3189416666666666,Missouri
bakery,St. Louis,2020-05-27 00:00:00,0.23808,Missouri
bakery,St. Louis,2020-05-20 00:00:00,0.3060444444444444,Missouri
bakery,San Francisco,2020-05-27 00:00:00,0.2519875,California
bakery,San Francisco,2020-05-20 00:00:00,0.3063510638297872,California
bank,Los Angeles,2020-05-20 00:00:00,-0.55905,California
bank,Cook,2020-06-03 00:00:00,-0.16666363636363632,Illinois
bank,Cook,2020-05-27 00:00:00,0.12380500000000001,Illinois
bank,San Diego,2020-05-27 00:00:00,0.05108571428571429,California
bank,San Diego,2020-05-20 00:00:00,0.1403972602739725,California
bank,Orange,2020-06-03 00:00:00,0.683375,Florida
bank,Orange,2020-05-20 00:00:00,0.3876888888888889,Florida
bank,Miami-Dade,2020-05-27 00:00:00,-0.2009285714285714,Florida
bank,Miami-Dade,2020-05-20 00:00:00,0.38886969696969687,Florida
bank,Kings,2020-05-27 00:00:00,-0.5339739130434783,New York
bank,Queens,2020-06-03 00:00:00,-0.1402428571428571,New York
bank,Queens,2020-05-27 00:00:00,0.21067692307692318,New York
bank,Queens,2020-05-20 00:00:00,-0.3177955223880596,New York
bank,King,2020-06-03 00:00:00,-0.7253444444444448,Washington
bank,King,2020-05-27 00:00:00,-0.5348533333333332,Washington
bank,King,2020-05-20 00:00:00,-0.13814864864864865,Washington
bank,Clark,2020-05-20 00:00:00,-0.6035,Nevada
bank,San Bernardino,2020-05-27 00:00:00,0.05108571428571429,California
bank,San Bernardino,2020-05-20 00:00:00,0.1403972602739725,California
bank,Broward,2020-05-20 00:00:00,0.4605000000000001,Florida
bank,Santa Clara,2020-06-03 00:00:00,-0.8417916666666666,California
bank,Santa Clara,2020-05-27 00:00:00,-0.026833333333333338,California
bank,Santa Clara,2020-05-20 00:00:00,0.6933384615384616,California
bank,New York,2020-06-03 00:00:00,-0.38164047619047603,New York
bank,New York,2020-05-27 00:00:00,0.19615102040816326,New York
bank,New York,2020-05-20 00:00:00,-0.23278392857142857,New York
bank,Palm Beach,2020-06-03 00:00:00,-0.023077777777777794,Florida
bank,Palm Beach,2020-05-27 00:00:00,-0.262291304347826,Florida
bank,Palm Beach,2020-05-20 00:00:00,-0.15118965517241392,Florida
bank,Suffolk,2020-05-27 00:00:00,0.31857272727272734,New York
bank,Orange,2020-06-03 00:00:00,0.683375,Florida
bank,Orange,2020-05-20 00:00:00,0.3876888888888889,Florida
bank,Franklin,2020-05-20 00:00:00,0.07307500000000003,Ohio
bank,Travis,2020-05-20 00:00:00,-0.3914307692307692,Texas
bank,Allegheny,2020-05-20 00:00:00,0.24519230769230765,Pennsylvania
bank,Salt Lake,2020-06-03 00:00:00,0.40228749999999996,Utah
bank,Salt Lake,2020-05-27 00:00:00,0.18869117647058822,Utah
bank,Salt Lake,2020-05-20 00:00:00,-0.09942352941176472,Utah
bank,Contra Costa,2020-05-27 00:00:00,-0.47678181818181836,California
bank,Contra Costa,2020-05-20 00:00:00,-0.04194999999999999,California
bank,Wake,2020-06-03 00:00:00,0.026890476190476166,North Carolina
bank,Wake,2020-05-27 00:00:00,-0.25478032786885246,North Carolina
bank,Wake,2020-05-20 00:00:00,-0.0571232558139535,North Carolina
bank,Collin,2020-06-03 00:00:00,0.30234705882352947,Texas
bank,St. Louis,2020-06-03 00:00:00,-0.16260416666666663,Missouri
bank,St. Louis,2020-05-27 00:00:00,0.1321375,Missouri
bank,St. Louis,2020-05-20 00:00:00,-0.03001999999999995,Missouri
bank,Fairfield,2020-05-20 00:00:00,0.33175000000000004,Connecticut
bank,Bergen,2020-05-20 00:00:00,0.7429812499999999,New Jersey
bank,Prince George's,2020-06-03 00:00:00,0.1272285714285714,Maryland
bank,Prince George's,2020-05-27 00:00:00,-0.542928,Maryland
bank,Prince George's,2020-05-20 00:00:00,-0.3058416666666667,Maryland
bank,Pierce,2020-05-27 00:00:00,-0.9215666666666666,Washington
bank,Pierce,2020-05-20 00:00:00,0.33396666666666674,Washington
bank,San Francisco,2020-05-27 00:00:00,-0.3875228571428572,California
bank,San Francisco,2020-05-20 00:00:00,0.1403972602739725,California
bar,Los Angeles,2020-06-03 00:00:00,-0.4333073170731707,California
bar,Los Angeles,2020-05-27 00:00:00,0.0014000000000000054,California
bar,Los Angeles,2020-05-20 00:00:00,-0.54898,California
bar,Cook,2020-06-03 00:00:00,-0.16729444444444444,Illinois
bar,Cook,2020-05-27 00:00:00,-0.34044805194805206,Illinois
bar,Cook,2020-05-20 00:00:00,-0.17328125,Illinois
bar,Harris,2020-05-27 00:00:00,-0.12797325581395352,Texas
bar,Harris,2020-05-20 00:00:00,-0.613650704225352,Texas
bar,Maricopa,2020-05-20 00:00:00,-0.6906571428571429,Arizona
bar,San Diego,2020-06-03 00:00:00,-0.342250909090909,California
bar,San Diego,2020-05-27 00:00:00,-0.34833207547169825,California
